SKU,Price API,Price Shopify,Quantity
P4071,18.43,25.63,0
P4072,16.07,22.38,6
P4087,4.28,6.11,100
P4088,6.52,9.20,10
P960,19.64,27.30,50
P4118,11.75,16.41,0
P4228,6.68,9.42,0
P1691,14.88,20.73,8
P4287,18.15,25.25,50
P4304,9.45,13.24,4
P1606,9.47,13.27,6
P1607,9.47,13.27,5
P1608,9.47,13.27,0
P929,32.45,44.98,5
P930,32.45,44.98,7
P4362,13.47,18.79,50
P4388,7.5,10.55,10
P4390,5.8,8.20,1
P945,24.22,33.62,9
P1347,10.26,14.36,50
P951,6.62,9.34,10
P968,27.05,37.53,10
P946,12.42,17.34,50
P2879,12.97,18.10,3
P2880,12.97,18.10,10
P2913,12.97,18.10,6
P1874,8.87,12.44,2
P1875,8.87,12.44,8
P1876,8.87,12.44,10
P1639,19.02,26.45,1
P2472,19.02,26.45,4
P2526,19.02,26.45,2
P1824,57.06,78.94,0
P1825,57.06,78.94,2
P1826,57.06,78.94,3
P2756,25.01,34.71,0
P2685,22.29,30.96,10
P2215,6.52,9.20,10
P1688,10.31,14.43,6
P737,22.01,30.57,100
P109,16.73,23.29,0
P1810,17.36,24.16,5
P1809,17.36,24.16,6
P2448,21.05,29.25,2
P2447,21.05,29.25,10
P2446,21.05,29.25,3
P1870,39.69,54.97,0
P1944,38.98,53.99,100
P3335,40.99,56.77,10
P4577,7.97,11.20,10
P3391,11.05,15.45,0
P4583,6.8,9.58,10
P4587,9.03,12.66,50
P4609,14.78,20.60,0
P4611,8.12,11.41,50
P4614,11.95,16.69,10
P4697,21.63,30.05,10
P4710,10.3,14.41,0
P4711,17.14,23.85,0
P5264,40.99,56.77,0
P6409,18.47,25.69,0
P6410,17.24,23.99,10
P6411,40.02,55.43,10
P6412,5.89,8.33,50
P6413,3.44,4.95,8
P6414,4.81,6.84,10
P6415,5.74,8.12,0
P6416,6.12,8.65,9
P5957,4.97,7.06,10
P5500,8.37,11.75,10
P6093,25.67,35.62,0
P1344,13.38,18.66,100
P6018,24.14,33.51,0
P5498,3.71,5.32,1
P5490,13.19,18.40,6
P5950,14.07,19.62,10
P5503,11.94,16.68,7
P5067,17.6,24.49,0
P4890,12.1,16.90,0
P4891,18.64,25.92,5
P5068,17.6,24.49,0
P5069,17.6,24.49,0
P5093,11.9,16.62,4
P5094,9.02,12.65,0
P5096,10.25,14.34,0
P5222,16.93,23.56,10
P5223,16.93,23.56,10
P5239,15.09,21.02,0
P5241,36.24,50.21,8
P5405,25.63,35.57,0
P5420,12.93,18.04,5
P5471,19.18,26.67,10
P5479,7.14,10.05,50
P5481,16.13,22.46,10
P5482,20.33,28.26,10
P5483,3.57,5.13,10
P5484,4.31,6.15,10
P5485,4.3,6.13,10
P5486,9.35,13.10,10
P5488,17.4,24.21,5
P5489,25.97,36.04,10
P5491,12.07,16.86,5
P5492,20.47,28.45,10
P5495,15.11,21.05,100
P5496,15.7,21.87,10
P5497,16.58,23.08,10
P5499,11.04,15.44,0
P5502,6.53,9.21,100
P5504,7.2,10.14,10
P5505,9.61,13.46,10
P5506,13.94,19.44,10
P5694,9.5,13.31,10
P5855,10.47,14.65,10
P5984,37.15,51.47,10
P6003,12.97,18.10,7
P6029,10.5,14.69,4
P6030,10.47,14.65,10
P6031,8.19,11.50,10
P6032,7.97,11.20,50
P6033,18.79,26.13,50
P6035,6.82,9.61,0
P6036,9.56,13.39,10
P6037,9.56,13.39,10
P5097,6.02,8.51,50
P6057,36.46,50.51,0
P6058,33.74,46.76,10
P6059,33.74,46.76,10
P6060,33.74,46.76,0
P6090,36.46,50.51,0
P6122,20.88,29.01,0
P6155,10.66,14.91,10
P6163,8.65,12.14,0
P6227,11.96,16.70,100
P6230,7.96,11.18,0
P6239,25.37,35.21,9
P6243,9.31,13.05,10
P6344,20.91,29.06,10
P6347,20.91,29.06,10
P6348,27.74,38.48,6
P6358,13.24,18.47,10
P6398,10.39,14.54,0
P6492,10.03,14.04,10
P6498,9.25,12.96,10
P6508,37.15,51.47,0
P6569,9.54,13.37,0
P6592,9.35,13.10,10
P6593,8.08,11.35,10
P6595,6.88,9.69,10
P6596,10.26,14.36,10
P6597,8.95,12.55,10
P6598,7.59,10.67,0
P6600,17.67,24.58,8
P6601,7.26,10.22,10
P6602,7.94,11.16,10
P6603,16.88,23.49,10
P6606,9.43,13.21,50
P6609,27.6,38.29,0
P6610,38.25,52.98,10
P6614,7.53,10.59,10
P6616,21.51,29.88,10
P6618,3.2,4.62,100
P6619,4.5,6.41,0
P6620,7.48,10.52,10
P6621,4.46,6.35,10
P6622,2.95,4.27,50
P6623,3.59,5.15,10
P6624,2.14,3.15,10
P6625,17.26,24.02,8
P6628,7.99,11.23,10
P6629,7.12,10.03,4
P6634,18.78,26.12,10
P6636,8.68,12.18,50
P6637,26.52,36.80,10
P6641,8.45,11.86,0
P6643,9.99,13.99,10
P6644,10.44,14.61,10
P6645,14.84,20.68,8
P6647,7.3,10.27,0
P6648,30.79,42.69,10
P6655,12.48,17.42,0
P6783,17.98,25.01,0
P6807,16.54,23.03,10
P6808,9.46,13.25,7
P6809,19.67,27.34,10
P6816,37.15,51.47,0
P6836,18.45,25.66,4
P6837,18.45,25.66,10
P6840,5.77,8.16,10
P7079,14.44,20.13,10
P7080,15.28,21.29,7
P7082,15.8,22.00,0
P7083,9.47,13.27,50
P7084,12.89,17.99,50
P7085,17.54,24.41,50
P7087,16.33,22.74,10
P7088,18.77,26.10,10
P7089,15.89,22.13,10
P7118,40.99,56.77,0
P7166,2.76,4.01,50
P7345,10.11,14.15,0
P7346,10.11,14.15,0
P7347,10.11,14.15,10
P7383,40.99,56.77,0
P7478,9.46,13.25,0
P7588,8.16,11.46,100
P7610,36.46,50.51,50
P7611,5.37,7.61,10
P7615,8.52,11.96,10
P7616,11.22,15.68,50
P7877,16.12,22.45,50
P7875,16.12,22.45,100
P7925,14.88,20.73,100
P7950,47.98,66.41,10
P8020,15.96,22.22,10
P8068,16.93,23.56,0
P8161,7.99,11.23,10
P8181,9.93,13.90,50
P8183,7.59,10.67,0
P8184,25.15,34.91,10
P8187,25.24,35.03,10
P8188,20.17,28.03,10
